,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,jp_parent_route_id,route_color,route_text_color
27,3-北陽中学校(1040),3-3410001006019,,大森,,3,,FF80FF,000000
28,3-大館小坂(1041),3-3410001006019,,大館小坂,,3,,FF80C0,000000
29,3-大館小坂(1042),3-3410001006019,,大館小坂,,3,,FF80C0,000000
30,3-北陽中学校(1043),3-3410001006019,,北陽中学校,,3,,FF80FF,000000
31,3-北陽中学校(1044),3-3410001006019,,北陽中学校,,3,,FF80FF,000000
32,3-北陽中学校(1045),3-3410001006019,,北陽中学校,,3,,FF80FF,000000
33,3-北陽中学校(1046),3-3410001006019,,北陽中学校,,3,,FF80FF,000000
34,3-北陽中学校(1047),3-3410001006019,,北陽中学校,,3,,FF80FF,000000
35,3-北陽中学校(1048),3-3410001006019,,北陽中学校,,3,,FF80FF,000000
36,3-大谷(1049),3-3410001006019,,大谷,,3,,FF0000,FFFFFF
37,3-大谷(1050),3-3410001006019,,大谷,,3,,FF0000,FFFFFF
38,3-大谷(1051),3-3410001006019,,大谷,,3,,FF0000,FFFFFF
39,3-大谷(1052),3-3410001006019,,大谷,,3,,FF0000,FFFFFF
40,3-大谷(1053),3-3410001006019,,大谷,,3,,FF0000,FFFFFF
41,3-大谷(1054),3-3410001006019,,大谷,,3,,FF0000,FFFFFF
42,3-中野(1055),3-3410001006019,,中野,,3,,0000A0,FFFFFF
43,3-中野(1056),3-3410001006019,,中野,,3,,0000A0,FFFFFF
44,3-中野(1057),3-3410001006019,,中野,,3,,0000A0,FFFFFF
45,3-中野(1058),3-3410001006019,,中野,,3,,0000A0,FFFFFF
46,3-弥助(1059),3-3410001006019,,弥助,,3,,80FF00,000000
47,3-弥助(1060),3-3410001006019,,弥助,,3,,80FF00,000000
48,3-ハチ公1号(1061),3-3410001006019,,ハチ公1号,,3,,00FF40,000000
49,3-ハチ公2号(1062),3-3410001006019,,ハチ公2号,,3,,00FF40,000000
50,3-はまなす(2009),3-3410001006019,,はまなす,,3,,FF00FF,FFFFFF
51,3-しののめ(2010),3-3410001006019,,しののめ,,3,,0080C0,FFFFFF
52,3-【ではるん】能代駅前・東能代地区連絡コミュニティバス(6017),3-3410001006019,,【ではるん】能代駅前・東能代地区連絡コミュニティバス,,3,,804000,FFFFFF
53,3-【ではるん】能代駅前・東能代地区連絡コミュニティバス(6018),3-3410001006019,,【ではるん】能代駅前・東能代地区連絡コミュニティバス,,3,,804000,FFFFFF
54,3-八竜(2015),3-3410001006019,,八竜,,3,,00FFFF,000000
55,3-八竜(2016),3-3410001006019,,八竜,,3,,00FFFF,000000
56,3-八竜(2017),3-3410001006019,,八竜,,3,,00FFFF,000000
57,3-八竜(2018),3-3410001006019,,八竜,,3,,00FFFF,000000
58,3-八竜(2019),3-3410001006019,,八竜,,3,,00FFFF,000000
59,3-みねはま(2020),3-3410001006019,,みねはま,,3,,804040,FFFFFF
60,3-みねはま(2021),3-3410001006019,,みねはま,,3,,804040,FFFFFF
61,3-二ツ井真名子(2037),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
62,3-二ツ井真名子(2038),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
63,3-二ツ井真名子(2031),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
64,3-二ツ井真名子(2030),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
65,3-二ツ井真名子(2035),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
66,3-二ツ井真名子(2036),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
67,3-二ツ井真名子(2034),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
68,3-二ツ井真名子(2032),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
69,3-二ツ井真名子(2033),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
70,3-米田環状(2039),3-3410001006019,,米田環状,,3,,004080,FFFFFF
71,3-米田環状(2040),3-3410001006019,,米田環状,,3,,004080,FFFFFF
72,3-米田環状(2041),3-3410001006019,,米田環状,,3,,004080,FFFFFF
73,3-二ツ井真名子(2042),3-3410001006019,,二ツ井真名子,,3,,008080,FFFFFF
74,3-花輪大館(3001),3-3410001006019,,花輪大館,,3,,8080FF,FFFFFF
75,3-花輪大館(3002),3-3410001006019,,花輪大館,,3,,8080FF,FFFFFF
76,3-花輪大館(3003),3-3410001006019,,花輪大館,,3,,8080FF,FFFFFF
